"ID","IdRace","French","FrenchPart","English","EnglishPart","Italian","ItalianPart","German","GermanPart","Russian","RussianPart","Spanish","SpanishPart","Czech","CzechPart","Hungarian","HungarianPart","Polish","PolishPart"
"1","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_1","1","","1","","1","","1","","1","","1","","1","","1"
"2","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_2","1","","1","","1","","1","","1","","1","","1","","1"
"3","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_3","1","","1","","1","","1","","1","","1","","1","","1"
"4","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_4","1","","1","","1","","1","","1","","1","","1","","1"
"5","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_5","1","","1","","1","","1","","1","","1","","1","","1"
"6","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_6","1","","1","","1","","1","","1","","1","","1","","1"
"7","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_7","1","","1","","1","","1","","1","","1","","1","","1"
"8","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_8","1","","1","","1","","1","","1","","1","","1","","1"
"9","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_9","1","","1","","1","","1","","1","","1","","1","","1"
"10","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_10","1","","1","","1","","1","","1","","1","","1","","1"
"11","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_11","1","","1","","1","","1","","1","","1","","1","","1"
"12","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_12","1","","1","","1","","1","","1","","1","","1","","1"
"13","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_13","1","","1","","1","","1","","1","","1","","1","","1"
"14","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_14","1","","1","","1","","1","","1","","1","","1","","1"
"15","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_15","1","","1","","1","","1","","1","","1","","1","","1"
"16","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_16","1","","1","","1","","1","","1","","1","","1","","1"
"17","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_17","1","","1","","1","","1","","1","","1","","1","","1"
"18","1","","1","GUI_STADIUM_NAME_HUMAN_PART1_18","1","","1","","1","","1","","1","","1","","1","","1"
"19","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_1","2","","1","","1","","1","","1","","1","","1","","1"
"20","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_2","2","","1","","1","","1","","1","","1","","1","","1"
"21","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_3","2","","1","","1","","1","","1","","1","","1","","1"
"22","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_4","2","","1","","1","","1","","1","","1","","1","","1"
"23","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_5","2","","1","","1","","1","","1","","1","","1","","1"
"24","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_6","2","","1","","1","","1","","1","","1","","1","","1"
"25","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_7","2","","1","","1","","1","","1","","1","","1","","1"
"26","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_8","2","","1","","1","","1","","1","","1","","1","","1"
"27","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_9","2","","1","","1","","1","","1","","1","","1","","1"
"28","1","","1","GUI_STADIUM_NAME_HUMAN_PART2_10","2","","1","","1","","1","","1","","1","","1","","1"
"29","4","","1","GUI_STADIUM_NAME_ORC_PART1_1","1","","1","","1","","1","","1","","1","","1","","1"
"30","4","","1","GUI_STADIUM_NAME_ORC_PART1_2","1","","1","","1","","1","","1","","1","","1","","1"
"31","4","","1","GUI_STADIUM_NAME_ORC_PART1_3","1","","1","","1","","1","","1","","1","","1","","1"
"32","4","","1","GUI_STADIUM_NAME_ORC_PART1_4","1","","1","","1","","1","","1","","1","","1","","1"
"33","4","","1","GUI_STADIUM_NAME_ORC_PART1_5","1","","1","","1","","1","","1","","1","","1","","1"
"34","4","","1","GUI_STADIUM_NAME_ORC_PART1_6","1","","1","","1","","1","","1","","1","","1","","1"
"35","4","","1","GUI_STADIUM_NAME_ORC_PART1_7","1","","1","","1","","1","","1","","1","","1","","1"
"36","4","","1","GUI_STADIUM_NAME_ORC_PART1_8","1","","1","","1","","1","","1","","1","","1","","1"
"37","4","","1","GUI_STADIUM_NAME_ORC_PART1_9","1","","1","","1","","1","","1","","1","","1","","1"
"38","4","","1","GUI_STADIUM_NAME_ORC_PART1_10","1","","1","","1","","1","","1","","1","","1","","1"
"39","4","","1","GUI_STADIUM_NAME_ORC_PART1_11","1","","1","","1","","1","","1","","1","","1","","1"
"40","4","","1","GUI_STADIUM_NAME_ORC_PART1_12","1","","1","","1","","1","","1","","1","","1","","1"
